ADDRESS,ZIPCODE,LAST_UPDATE_DATE,YEAR,NPA_NAME,LATITUDE,LONGITUDE,Location_1,SCHOOL_DISTRICT,POPULATION_2010,MEDIAN_AGE,PCT_UNDER_18,PCT_OVER_65,PCT_HIGHSCHOOL_DIPLOMA,PCT_UNEMPLOYED,TOTAL_JOBS_AREA,MEDIAN_HOUSEHOLD_INCOME,PCT_RENTING,PCT_VACANT,PCT_FORECLOSURES,MEDIAN_HOUSE_AGE,SUB_STANDARD_STRUCTURE_COMPLAINTS,CRIMES_PROPERTY,CRIMES_PEOPLE,UNINSURED_RATE,SCHOOL_SUBSIDIZED_MEALS,COMMERCIAL_BLD_PERMITS,RESIDENTIAL_BLD_PERMITS,REPORTED_S,EMERGENCY_,PCT_POOR_STREETS,SANITARY_SEWER_OVERFLOW_RATE,PCT_NEAR_GROCERY_STORE,PCT_NEAR_PARK,PCT_NEAR_LIBRARY,PCT_VOTER_TURNOUT
7101 INTREPID DR,76179,55:25.3,2017,Eagle Mountain\ Lake Country,32.8673,-97.4413,"(32.8673,-97.4413)",EAGLE MT SAGINAW ISD,14095,42,0.21797296,0.12842578,0.96616314,0.03851532,1062,107530,0.1780359,0.13017263,0,23,10,23.02283017,8.091706,0.06020571,2.64273578,3,60,4,0,0.04454849,3,0.00028379,0.25391983,0,0
1409 MINDEN ST,76115,55:25.3,2016,Greater Hillside\ Morningside,32.6963,-97.3067,"(32.6963,-97.3067)",FORT WORTH ISD,13464,30,0.34959724,0.11538166,0.28497831,0.20369584,2037,22431,0.48576175,0.14540661,4.07088123,67,67,67.66398159,33.67855773,0.37392572,75.00142938,7,72,32,130,0.07611516,19,0.15482559,0.97543886,0.97422757,0.30036983
651 JOHN T WHITE RD N,76120,55:25.3,2017,Historic Randol's Mill,32.7691,-97.1703,"(32.7691,-97.1703)",FORT WORTH ISD,18782,33,0.2886607,0.06348655,0.8831058,0.10214146,8182,59312,0.4184264,0.0600763,0,22,14,44.9732971,10.8685468,0.17865683,7.27310358,9,109,12,0,0.00960772,4,0.37050696,0.46862664,0.15364637,0
4681 LANCE LEAF DR,76244,55:25.3,2016,Alliance Gateway,32.952,-97.2821,"(32.952,-97.2821)",KELLER ISD,27977,31,0.36535828,0.04257678,0.17940647,0.04812604,7552,90260,0.20429312,0.04973875,0,11,11,16.52865619,4.40112147,0.06673404,18.86851305,65,409,7,19,0.01570223,2,0.56318939,0.69205537,0,0.34735774
9433 CLAUDIA DR,76134,55:25.3,2016,Hallmark,32.6175,-97.3443,"(32.6175,-97.3443)",CROWLEY ISD,16687,28,0.36086886,0.07686474,0.32254279,0.11108491,2376,46621,0.38704028,0.05791124,0.23369946,31,14,55.08910677,16.19630573,0.23181992,18.62880419,8,104,12,69,0.01502478,15,0.03065765,0.92326446,0.01078684,0.35230538
2109 MONTCLAIR DR,76103,55:25.3,2016,Meadowbrook,32.7471,-97.2511,"(32.7471,-97.2511)",FORT WORTH ISD,19842,36,0.27044087,0.10270588,0.28016127,0.14173722,3177,36035,0.45384182,0.14158009,0.3407155,65,88,70.36257768,26.66731908,0.32532155,59.0200547,21,94,37,133,0.0933308,17,0.62034893,0.85373887,0.84764641,0.35457406
2733 FOREST CREEK DR,76123,55:25.3,2016,Greater Candleridge\ Meadow Creek,32.6305,-97.3625,"(32.6305,-97.3625)",CROWLEY ISD,41170,32,0.31947156,0.08796023,0.30551151,0.09159359,3890,56494,0.33785279,0.08488954,0.16552181,30,47,40.60925228,11.34970718,0.19641801,57.34112793,16,192,19,47,0.00853264,7,0.60318052,0.99455833,0.45418994,0.39159727
2728 S JONES ST,76104,55:25.3,2016,Greater Hemphill,32.712,-97.3235,"(32.712,-97.3235)",FORT WORTH ISD,25030,30,0.31482611,0.07785235,0.20672608,0.10362173,9017,32448,0.411871,0.09554941,0.74906367,70,78,56.05043726,15.33455359,0.42338824,85.80732129,31,115,22,37,0.11541847,17,0.95804791,1,0.79428686,0.28143626
4201 TWINLEAF DR,76036,55:25.3,2016,Rosemary Ridge\ Deer Creek,32.5933,-97.3842,"(32.5933,-97.3842)",CROWLEY ISD,11791,30,0.31961615,0.04435031,0.29570867,0.07483103,1260,77635,0.19955345,0.07128046,0.82758621,13,3,41.72735841,13.79487619,0.2163173,53.44015426,1,254,7,32,0.00193237,3,0.18778455,0.75629241,0.35357476,0.33506414
6028 WESTRIDGE LN # 103,76116,55:25.3,2016,Greater Ridglea,32.7113,-97.414,"(32.7113,-97.414)",FORT WORTH ISD,22101,36,0.21135243,0.15122344,0.21349019,0.05984876,13121,46323,0.49862782,0.13233813,0.16374652,61,29,83.12784522,21.29172989,0.24602836,62.37516352,80,179,20,108,0.03316683,13,0.8084763,0.76014573,0.81765531,0.42112091
