Day,RFD,BPD,TRD_hi,TRD_lo,WRD
315,0.48,29.99,68,39,5
316,0,30.34,51.6,33.1,2
317,0,30.3,53.2,30.4,3
318,0.28,30.13,42.9,38.6,4
319,0,30.39,42.9,36.2,2
320,0,30.52,54.5,33.3,1
321,0,30.44,58.8,31.1,2
322,0,30.42,47.6,35.8,4
323,0,30.51,43.6,31.8,1
324,0,30.5,50.9,30.1,2
325,0.02,30.42,51.7,39.4,1
326,0,30.34,61.7,38.9,1
327,0.48,30.13,54.9,45.4,3
328,0.76,30.03,56.5,51.9,3
329,0.02,30.19,59.2,49,5
330,1.16,29.86,55.2,47.1,5
331,0,29.93,63.2,43.5,3
332,0,29.93,66.9,37.8,5
333,0,29.79,78.7,41.6,6
334,0,30.41,51.4,32.9,4
335,0,30.38,53.4,32.3,4
336,0,30.1,63.6,48.4,6
337,0,30.4,63,43.9,5
338,0,30.26,58.4,45.2,3
339,0,29.87,77.8,51.4,6
340,0.01,29.92,76.8,61.4,4
341,0.12,30.15,70.1,57.9,2
342,0.13,30.14,73.7,56,1
343,0.15,30.12,66.3,57,4
344,0.61,30.09,71.5,53.2,4
345,0.05,30.15,56.4,50.3,2
346,0.06,29.98,61.4,52.7,7
347,0.37,29.73,66.9,48,6
348,0,29.87,56.3,41.6,4
349,0,30.08,55,35.9,3
350,0,30.17,48.1,35.3,3
351,0,30.25,51.2,32.4,2
352,0,30.31,54.8,29,3
353,0,30.23,48.3,42.6,6
354,0.03,30.41,55.7,37.7,4
355,0,30.23,52.1,30.6,2
356,0,30.26,43.4,9.7,9
357,0,30.78,23.1,9.6,5
358,0,30.66,35.5,20.8,1
359,0,30.43,49.7,23.5,2
360,0,30.29,57.4,27.5,4
361,0,30.27,48.7,22.9,4
362,0,29.89,71.1,39.9,10
363,0,29.92,72.9,54.8,5
364,0,30,62.9,47.4,1
365,0,29.88,71.4,47.1,4
