Day,RFD,BPD,TRD_hi,TRD_lo,WRD
1031,2.62,30.03,63.5,56.4,2
1032,0.15,30.14,56.4,39.2,4
1033,0.51,30.38,50.3,35.7,4
1043,0.26,30,72.1,51.7,4
1053,0.21,29.84,65,54.1,4
1059,0.15,30.13,61.8,40.7,3
1060,0.01,30.24,50.9,33.7,4
1064,0.2,29.79,62.3,53.3,3
1079,0.68,30.21,57.6,45.4,4
1085,0.98,30.24,60,55.3,4
1086,0.2,30.16,67.5,55.3,3
1087,0.28,30.04,63.1,59.3,4
1088,1.46,29.82,65.2,46,5
